,EM (Emerging Markets),China,India,Indonesia,Korea,Malaysia -EM,Pakistan,Philippines,Sri Lanka,Taiwan,Thailand,Brazil,Chile,Colombia,Mexico,Peru,Venezuela,Czech Republic,Egypt,Greece,Hungary,Poland,Qatar,Russia,Russia ADR/GDR Index,South Africa,Turkey,United Arab Emirates
7/9/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.465239554,0,4.301283548,2.350801107,1.8844018,0,0,0,0,0,0
7/12/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.464847175,0,4.320968513,2.385277886,1.924034198,0,0,0,0,0,0
7/13/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.444095046,0,4.360497659,2.258988825,1.938756619,0,0,0,0,0,0
7/14/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.45357709,0,4.384558225,2.278041598,1.936231174,0,0,0,0,0,0
7/15/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.456890167,0,4.491801324,2.294796838,1.983954754,0,0,0,0,0,0
7/16/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.457744923,0,4.570568582,2.285395848,1.944644918,0,0,0,0,0,0
7/19/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.464072193,0,4.643746031,2.277688226,1.92000418,0,0,0,0,0,0
7/20/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.470102864,0,4.566802716,2.247871965,1.886033634,0,0,0,0,0,0
7/21/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.47048921,0,4.533210925,2.254949951,1.846121833,0,0,0,0,0,0
7/22/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.485434623,0,4.541591512,2.275702887,1.822569955,0,0,0,0,0,0
7/23/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.490111227,0,4.465754113,2.29401008,1.808027016,0,0,0,0,0,0
7/26/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.481733693,0,4.421834801,2.269420144,1.828382554,0,0,0,0,0,0
7/27/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482078211,0,4.329131885,2.29460104,1.780986391,0,0,0,0,0,0
7/28/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.486746467,0,4.286761103,2.323619415,1.80381092,0,0,0,0,0,0
7/29/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.480185815,0,4.265703321,2.278212674,1.822336301,0,0,0,0,0,0
7/30/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.490096369,0,4.217449319,2.319562418,1.786459297,0,0,0,0,0,0
8/2/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.489421012,0,4.156178264,2.296890672,1.795374266,0,0,0,0,0,0
8/3/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.502932813,0,4.172265067,2.298562718,1.788307236,0,0,0,0,0,0
8/4/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.511222399,0,4.216786434,2.284808466,1.769147228,0,0,0,0,0,0
8/5/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.501789964,0,4.205185822,2.25677643,1.774940523,0,0,0,0,0,0
8/6/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.501505005,0,3.922337949,2.263007325,1.847396383,0,0,0,0,0,0
8/9/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.499633307,0,3.958077231,2.245846784,1.742095989,0,0,0,0,0,0
8/10/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.485883086,0,4.099378236,2.206756863,1.721845878,0,0,0,0,0,0
8/11/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.487133945,0,4.106582899,2.186156787,1.710658419,0,0,0,0,0,0
8/12/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.487720091,0,4.208280455,2.21879915,1.742113058,0,0,0,0,0,0
8/13/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.488818005,0,4.282718772,2.23888083,1.747116697,0,0,0,0,0,0
8/16/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482386935,0,4.347676592,2.21777735,1.751488638,0,0,0,0,0,0
8/17/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482822709,0,4.344186964,2.214565806,1.725628465,0,0,0,0,0,0
8/18/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.483426211,0,4.329586977,2.200116613,1.746159902,0,0,0,0,0,0
8/19/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.484030738,0,4.231378154,2.226663105,1.759934855,0,0,0,0,0,0
8/20/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.484240522,0,4.201938624,2.225631814,1.750970904,0,0,0,0,0,0
8/23/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482000346,0,4.456242725,2.268514561,1.777157508,0,0,0,0,0,0
8/24/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.482478014,0,4.510049798,2.265783694,1.789867665,0,0,0,0,0,0
8/25/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.485773184,0,4.728457037,2.299947452,1.809100008,0,0,0,0,0,0
8/26/99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.484496834,0,4.600428677,2.310039354,1.822943376,0,0,0,0,0,0
8/27/99,0,0,0,0,0,1.988566229,0,0,0,0,0,0,0,0,0,0,,0.482700705,0,4.563157241,2.314522424,1.799463962,0,0,0,0,0,0
8/30/99,0,0,0,0,0,1.994321848,0,0,0,0,0,0,0,0,0,0,,0.480544388,0,4.553667944,2.304482912,1.795424197,0,0,0,0,0,0
8/31/99,0,0,0,0,0,1.993879794,0,0,0,0,0,0,0,0,0,0,,0.473349832,0,4.529388198,2.293541002,1.785112268,0,0,0,0,0,0
9/1/99,0,0,0,0,0,1.966932191,0,0,0,0,0,0,0,0,0,0,,0.468400574,0,4.745515765,2.277438819,1.790564865,0,0,0,0,0,0
9/2/99,0,0,0,0,0,1.901369161,0,0,0,0,0,0,0,0,0,0,,0.472082468,0,4.808960661,2.323210254,1.78335967,0,0,0,0,0,0
9/3/99,0,0,0,0,0,1.928766301,0,0,0,0,0,0,0,0,0,0,,0.478100207,0,4.728723591,2.363774233,1.750734353,0,0,0,0,0,0
9/6/99,0,0,0,0,0,1.950550963,0,0,0,0,0,0,0,0,0,0,,0.483516004,0,4.856457376,2.38836723,1.749372318,0,0,0,0,0,0
9/7/99,0,0,0,0,0,1.949840693,0,0,0,0,0,0,0,0,0,0,,0.480411508,0,4.884641742,2.368976981,1.716191086,0,0,0,0,0,0
9/8/99,0,0,0,0,0,1.958620232,0,0,0,0,0,0,0,0,0,0,,0.477053086,0,4.876881599,2.341922033,1.702855845,0,0,0,0,0,0
9/9/99,0,0,0,0,0,1.951629913,0,0,0,0,0,0,0,0,0,0,,0.471063341,0,4.473492069,2.343654326,1.671254663,0,0,0,0,0,0
9/10/99,0,0,0,0,0,1.915236513,0,0,0,0,0,0,0,0,0,0,,0.469261244,0,4.512664019,2.361067031,1.681080463,0,0,0,0,0,0
9/13/99,0,0,0,0,0,1.907634859,0,0,0,0,0,0,0,0,0,0,,0.466081454,0,4.862382273,2.32885402,1.688928613,0,0,0,0,0,0
9/14/99,0,0,0,0,0,1.877181803,0,0,0,0,0,0,0,0,0,0,,0.46848991,0,5.058172425,2.28300388,1.677490989,0,0,0,0,0,0
9/15/99,0,0,0,0,0,1.846764551,0,0,0,0,0,0,0,0,0,0,,0.470549542,0,5.038043368,2.259394585,1.615915157,0,0,0,0,0,0
9/16/99,0,0,0,0,0,1.820372896,0,0,0,0,0,0,0,0,0,0,,0.467457005,0,5.062588187,2.189669722,1.585410523,0,0,0,0,0,0
9/17/99,0,0,0,0,0,1.830550901,0,0,0,0,0,0,0,0,0,0,,0.469210135,0,5.05190525,2.189863354,1.6079391,0,0,0,0,0,0
9/20/99,0,0,0,0,0,1.837244625,0,0,0,0,0,0,0,0,0,0,,0.47398935,0,5.020350253,2.207834558,1.612178609,0,0,0,0,0,0
9/21/99,0,0,0,0,0,1.908686702,0,0,0,0,0,0,0,0,0,0,,0.469780276,0,4.746341396,2.172783902,1.566841567,0,0,0,0,0,0
9/22/99,0,0,0,0,0,1.868626753,0,0,0,0,0,0,0,0,0,0,,0.467447414,0,4.760986846,2.127616497,1.532670384,0,0,0,0,0,0
9/23/99,0,0,0,0,0,1.83487529,0,0,0,0,0,0,0,0,0,0,,0.468215336,0,4.561337741,2.153840934,1.512799432,0,0,0,0,0,0
9/24/99,0,0,0,0,0,1.6816158,0,0,0,0,0,0,0,0,0,0,,0.456306613,0,4.287443365,2.119545161,1.467157869,0,0,0,0,0,0
9/27/99,0,0,0,0,0,1.653880393,0,0,0,0,0,0,0,0,0,0,,0.466924165,0,4.164427732,2.158644249,1.447038479,0,0,0,0,0,0
9/28/99,0,0,0,0,0,1.648368403,0,0,0,0,0,0,0,0,0,0,,0.464577196,0,4.429736033,2.134717544,1.471302089,0,0,0,0,0,0
9/29/99,0,0,0,0,0,1.662170135,0,0,0,0,0,0,0,0,0,0,,0.458537476,0,4.386139172,2.129224203,1.453296025,0,0,0,0,0,0
9/30/99,0,0,0,0,0,1.643646763,0,0,0,0,0,0,0,0,0,0,,0.457983063,0,4.408727151,2.107900029,1.432069775,0,0,0,0,0,0
10/1/99,0,0,0,0,0,1.659225447,0,0,0,0,0,0,0,0,0,0,,0.448046625,0,4.358257785,2.075617342,1.446815586,0,0,0,0,0,0
10/4/99,0,0,0,0,0,1.663327571,0,0,0,0,0,0,0,0,0,0,,0.451450839,0,4.320570654,2.104656285,1.466801936,0,0,0,0,0,0
10/5/99,0,0,0,0,0,1.716214423,0,0,0,0,0,0,0,0,0,0,,0.455195237,0,4.420038246,2.063943994,1.503680837,0,0,0,0,0,0
10/6/99,0,0,0,0,0,1.728684226,0,0,0,0,0,0,0,0,0,0,,0.464515655,0,4.433653216,2.046493062,1.498433703,0,0,0,0,0,0
10/7/99,0,0,0,0,0,1.780521524,0,0,0,0,0,0,0,0,0,0,,0.465536237,0,4.419070039,2.063547111,1.518432266,0,0,0,0,0,0
10/8/99,0,0,0,0,0,1.806450238,0,0,0,0,0,0,0,0,0,0,,0.466537813,0,4.440191937,2.098351085,1.515835712,0,0,0,0,0,0
10/11/99,0,0,0,0,0,1.805274696,0,0,0,0,0,0,0,0,0,0,,0.460607122,0,4.37486958,2.110910483,1.496279868,0,0,0,0,0,0
10/12/99,0,0,0,0,0,1.804123577,0,0,0,0,0,0,0,0,0,0,,0.456439451,0,4.366237829,2.088441769,1.475968562,0,0,0,0,0,0
10/13/99,0,0,0,0,0,1.794929813,0,0,0,0,0,0,0,0,0,0,,0.448662245,0,4.430426471,2.042933565,1.445489966,0,0,0,0,0,0
10/14/99,0,0,0,0,0,1.79686161,0,0,0,0,0,0,0,0,0,0,,0.450795539,0,4.333929734,2.023128054,1.449766784,0,0,0,0,0,0
10/15/99,0,0,0,0,0,1.756610747,0,0,0,0,0,0,0,0,0,0,,0.439729425,0,4.225055266,1.965200355,1.484345972,0,0,0,0,0,0
10/18/99,0,0,0,0,0,1.720480913,0,0,0,0,0,0,0,0,0,0,,0.438786152,0,3.973143019,1.919183779,1.429252523,0,0,0,0,0,0
10/19/99,0,0,0,0,0,1.786003738,0,0,0,0,0,0,0,0,0,0,,0.449659056,0,3.932491239,1.974720937,1.42587682,0,0,0,0,0,0
10/20/99,0,0,0,0,0,1.781827302,0,0,0,0,0,0,0,0,0,0,,0.446945095,0,4.117994631,2.013801197,1.456857669,0,0,0,0,0,0
10/21/99,0,0,0,0,0,1.786560408,0,0,0,0,0,0,0,0,0,0,,0.446404835,0,3.996898052,1.934418063,1.494849383,0,0,0,0,0,0
10/22/99,0,0,0,0,0,1.784295114,0,0,0,0,0,0,0,0,0,0,,0.454678453,0,3.972854899,2.057019011,1.500476007,0,0,0,0,0,0
10/25/99,0,0,0,0,0,1.799382082,0,0,0,0,0,0,0,0,0,0,,0.451792244,0,4.0466473,2.057521153,1.508451727,0,0,0,0,0,0
10/26/99,0,0,0,0,0,1.787156469,0,0,0,0,0,0,0,0,0,0,,0.454719539,0,4.020004517,2.064991311,1.489681076,0,0,0,0,0,0
10/27/99,0,0,0,0,0,1.794559277,0,0,0,0,0,0,0,0,0,0,,0.456485482,0,3.970290457,2.038176889,1.481159995,0,0,0,0,0,0
10/28/99,0,0,0,0,0,1.82746649,0,0,0,0,0,0,0,0,0,0,,0.456429918,0,3.970269998,2.050168093,1.483331311,0,0,0,0,0,0
10/29/99,0,0,0,0,0,1.810079176,0,0,0,0,0,0,0,0,0,0,,0.458241062,0,3.986932474,2.09511605,1.530459761,0,0,0,0,0,0
11/1/99,0,0,0,0,0,1.778417105,0,0,0,0,0,0,0,0,0,0,,0.452733503,0,4.096229749,2.078922492,1.529779779,0,0,0,0,0,0
11/2/99,0,0,0,0,0,1.764702476,0,0,0,0,0,0,0,0,0,0,,0.449889056,0,4.110838842,2.112139814,1.530730284,0,0,0,0,0,0
11/3/99,0,0,0,0,0,1.77676731,0,0,0,0,2.334230195,0,0,0,0,0,,0.453986696,0,4.041604791,2.163364181,1.529671176,0,0,0,0,0,0
11/4/99,0,0,0,0,0,1.765217373,0,0,0,0,2.406276075,0,0,0,0,0,,0.453749112,0,3.990973762,2.179902107,1.544150106,0,0,0,0,0,0
11/5/99,0,0,0,0,0,1.751298292,0,0,0,0,2.597448395,0,0,0,0,0,,0.453081746,0,4.058065771,2.185865549,1.493909957,0,0,0,0,0,0
11/8/99,0,0,0,0,0,1.749774636,0,0,0,0,2.516370555,0,0,0,0,0,,0.453519278,0,4.097136885,2.18114136,1.494536593,0,0,0,0,0,0
11/9/99,0,0,0,0,0,1.732629072,0,0,0,0,2.515421692,0,0,0,0,0,,0.453872272,0,4.040543061,2.178115486,1.502147354,0,0,0,0,0,0
11/10/99,0,0,0,0,0,1.743582332,0,1.723387811,0,3.263068588,3.688976347,0,0,0,0,0,,0.454715436,0,4.027838279,2.157247634,1.509084704,0,0,0,0,0,0
11/11/99,0,0,0,0,0,1.740348229,0,1.735053767,0,3.343940903,3.887395431,0,0,0,0,0,,0.457561675,0,3.968870271,2.175497806,1.489472527,0,0,0,0,0,0
11/12/99,0,0,0,0,0,1.741720415,0,1.691551293,0,3.34249688,3.855365797,0,0,0,0,0,,0.454926102,0,4.018356741,2.151241649,1.488951657,0,0,0,0,0,0
11/15/99,0,0,0,0,0,1.764889571,0,1.69957101,0,3.383682465,3.863677706,0,0,0,0,0,,0.452184402,0,3.968532688,2.182354109,1.479512208,0,0,0,0,0,0
11/16/99,0,0,0,0,0,1.745445836,0,1.675744457,0,3.415107812,3.704778308,0,0,0,0,0,,0.453856762,0,3.948603719,2.221798778,1.504989678,0,0,0,0,0,0
11/17/99,0,0,0,0,0,1.749467718,0,1.651762138,0,3.429843099,3.578766708,0,0,0,0,0,,0.452044757,0,3.930603044,2.274988796,1.590109998,0,0,0,0,0,0
11/18/99,0,0,0,0,0,1.753105104,0,1.662539513,0,3.462299177,3.591895574,0,0,0,0,0,,0.448455812,0,3.873621211,2.305634761,1.598091931,0,0,0,0,0,0
11/19/99,0,0,0,0,0,1.779228222,0,1.663452702,0,3.478369676,3.651833593,0,0,0,0,0,,0.446467099,0,3.859654466,2.294230276,1.661300927,0,0,0,0,0,0
11/22/99,0,0,0,0,0,1.796008217,0,1.687606179,0,3.588427164,3.676503395,0,0,0,0,0,,0.445603076,0,3.816921575,2.27196956,1.685514548,0,0,0,0,0,0
11/23/99,0,0,0,0,0,1.788560421,0,1.675871287,0,3.601075483,3.691123963,0,0,0,0,0,,0.441344368,0,3.780076191,2.246081227,1.65791207,0,0,0,0,0,0
11/24/99,0,0,0,0,0,1.795314266,0,1.676244287,0,3.534060794,3.613099692,0,0,0,0,0,,0.438953752,0,3.70467636,2.231208639,1.648738303,0,0,0,0,0,0
11/25/99,0,0,0,0,0,1.787154285,0,1.672996533,0,3.512312457,3.780825819,0,0,0,0,0,,0.442618063,0,3.748263142,2.226073357,1.668899295,0,0,0,0,0,0
11/26/99,0,0,0,0,0,1.80080659,0,1.663374244,0,3.320602307,3.832537838,0,0,0,0,0,,0.445943826,0,3.917161775,2.247270778,1.68229396,0,0,0,0,0,0
11/29/99,0,0,0,0,0,1.799346918,0,1.689996047,0,3.410328085,3.608613292,0,0,0,0,0,,0.444016016,0,4.066753496,2.26721896,1.644326372,0,0,0,0,0,0
11/30/99,0,0,0,0,0,1.781390822,0,1.690494161,0,3.345492019,3.81958296,0,0,0,0,0,,0.450286329,0,3.92132991,2.316785995,1.622987586,0,0,0,0,0,0
12/1/99,0,0,0,0,0,1.761153587,0,1.690754984,0,3.374932084,3.721319115,0,0,0,0,0,,0.44597824,0,3.866735049,2.305787583,1.663174778,0,0,0,0,0,0
12/2/99,0,0,0,0,0,1.762816439,0,1.656973369,0,3.402867095,3.649233799,0,0,0,0,0,,0.449116713,0,3.81129536,2.351717707,1.689541458,0,0,0,0,0,0
12/3/99,0,0,0,0,0,1.74524805,0,1.379057563,0,3.339070269,2.75939805,0,0,0,0,0,,0.44345374,0,3.847147858,2.4221271,1.663374709,0,0,0,0,0,0
12/6/99,0,0,0,0,0,1.748867972,0,1.384514176,0,3.317206282,2.758891613,0,0,0,0,0,,0.444669422,0,3.771529663,2.458600421,1.668232367,0,0,0,0,0,0
12/7/99,0,0,0,0,0,1.760180482,0,1.387398909,0,3.27534143,2.745553242,0,0,0,0,0,,0.475854316,0,3.704118558,2.452664755,1.669864307,0,0,0,0,0,0
12/8/99,0,0,0,0,0,1.76604278,0,1.378421077,0,3.271988532,2.769215121,0,0,0,0,0,,0.47668214,0,3.66798362,2.447122736,1.717325927,0,0,0,0,0,0
